datetime,pred,kWh,seasonality
2023-07-22 12:00:00,4575163.506804511,4733462.996375,168
2023-07-22 13:00:00,4483526.970198631,4648173.390125,168
2023-07-22 14:00:00,4416240.696087569,4556306.796125,168
2023-07-22 15:00:00,4382519.387657121,4529854.144125,168
2023-07-22 16:00:00,4330955.923418775,4537015.901875,168
2023-07-22 17:00:00,4450447.385841504,4674110.98525,168
2023-07-22 18:00:00,4603561.368413702,4800399.7495,168
2023-07-22 19:00:00,4626138.358577788,4777901.215125,168
2023-07-22 20:00:00,4502872.190806702,4735674.692500001,168
2023-07-22 21:00:00,4442636.298589319,4751738.761875,168
2023-07-22 22:00:00,4474786.674767464,4770107.438,168
2023-07-22 23:00:00,4227430.458654106,4527260.34975,168
2023-07-23 00:00:00,4112091.7909339517,4340521.213,168
2023-07-23 01:00:00,3960048.7771633565,4182961.65875,168
2023-07-23 02:00:00,3785366.6617712677,4085534.676625,168
2023-07-23 03:00:00,3584840.2210176885,3908085.645,168
2023-07-23 04:00:00,3408080.2561855167,3730732.4801250002,168
2023-07-23 05:00:00,3348333.945930138,3696704.799125,168
2023-07-23 06:00:00,3375112.079563439,3735841.032375,168
2023-07-23 07:00:00,3441533.503882885,3786086.5245,168
2023-07-23 08:00:00,3627487.9379577637,3964674.0747499997,168
2023-07-23 09:00:00,3838813.4019425213,4120397.45775,168
2023-07-23 10:00:00,3967222.3783470243,4208962.41,168
2023-07-23 11:00:00,4101871.2410882413,4269867.006375,168
2023-07-23 12:00:00,4114378.597770512,4268313.46675,168
2023-07-23 13:00:00,3995783.44667989,4169317.916125,168
2023-07-23 14:00:00,3890691.489100352,4138602.4156250004,168
2023-07-23 15:00:00,3900053.7635013163,4145276.771125,168
2023-07-23 16:00:00,4013618.354445815,4241897.158125,168
2023-07-23 17:00:00,4254644.790652186,4488857.57125,168
2023-07-23 18:00:00,4533606.0173678845,4748043.02475,168
2023-07-23 19:00:00,4611572.958417848,4797141.048875,168
2023-07-23 20:00:00,4573669.77410467,4740383.252875,168
2023-07-23 21:00:00,4612704.928438783,4791522.5625,168
2023-07-23 22:00:00,4674682.039737761,4804920.973,168
2023-07-23 23:00:00,4353138.248054355,4520847.124625,168
2023-07-24 00:00:00,4098961.062150851,4324792.075,168
2023-07-24 01:00:00,3949362.896535754,4198496.652875,168
2023-07-24 02:00:00,3862946.252633333,4136686.577125,168
2023-07-24 03:00:00,3726808.1308237165,4026720.543625,168
2023-07-24 04:00:00,3682871.0142225176,3950246.017,168
2023-07-24 05:00:00,4056811.773765847,4233063.54875,168
2023-07-24 06:00:00,4749430.805461958,4871177.4815,168
2023-07-24 07:00:00,5468439.103347972,5515412.883375,168
2023-07-24 08:00:00,5871705.133548349,5908353.289875,168
2023-07-24 09:00:00,5930648.681863353,6096210.312625,168
2023-07-24 10:00:00,5997535.70764111,6121954.27575,168
2023-07-24 11:00:00,6117109.229639798,6319917.00325,168
2023-07-24 12:00:00,5783409.43030864,6165324.472,168
2023-07-24 13:00:00,5778241.671748236,6099470.6674999995,168
2023-07-24 14:00:00,5694918.723513663,5871897.707125,168
2023-07-24 15:00:00,5668541.206201896,5891306.818125,168
2023-07-24 16:00:00,5558876.861007392,5812961.856125,168
2023-07-24 17:00:00,5519001.209408492,5700737.5215,168
2023-07-24 18:00:00,5572532.061947122,5738895.118125,168
2023-07-24 19:00:00,5445050.772047102,5489416.55525,168
2023-07-24 20:00:00,5247975.233565256,5263294.811125,168
2023-07-24 21:00:00,5111022.946217164,5181710.526375,168
2023-07-24 22:00:00,5029280.729385197,5085796.124500001,168
2023-07-24 23:00:00,4650430.832473993,4767059.5126249995,168
2023-07-25 00:00:00,4303655.575682372,4571529.120999999,168
2023-07-25 01:00:00,4136607.740932584,4406476.544875,168
2023-07-25 02:00:00,4020256.8570127934,4286943.241125001,168
2023-07-25 03:00:00,3844540.8584834784,4134516.9606250003,168
2023-07-25 04:00:00,3709127.0384557545,4013729.7860000003,168
2023-07-25 05:00:00,4024249.6356280744,4286490.930749999,168
2023-07-25 06:00:00,4683104.495510295,4872612.3205,168
